Sr.no,Brand_Model,Prices,RAM,Storage,Processor,OS,Model,Type,Description,Reviews
1,Acer Aspire 3,15990,8 GB,256 GB SSD,Intel Celeron Dual Core ,Windows 11 Home,A311-45,Not available,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System256 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty,3.8
2,Acer Aspire 3 Backlit,38990,16 GB,512 GB SSD,AMD Ryzen 7 Octa Core 7730U ,Windows 11 Home,A325-42,Not available,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,4.0
3,DELL Vostro,42906,8 GB,512 GB SSD,Intel Core i3 12th Gen 1215U ,Windows 11 Home,3520,Laptop,"Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display My Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Hardware Service",4.4
4,HP Victus,69990,16 GB,512 GB SSD,Intel Core i5 13th Gen 13420H ,Windows 11 Home,Not available,Not available,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display Windows 11 and Microsoft Office Home & Student Edition 20241 Year Carry-in Warranty,4.4
5,ASUS Vivobook Go 15 OLED,34990,8 GB,512 GB SSD,AMD Ryzen 3 Quad Core 7320U ,Windows 11 Home,Not available,Not available,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.9
6,Acer Aspire 3,22990,8 GB,512 GB SSD,Intel Celeron Dual Core N4500 ,Windows 11 Home,A325-45,Not available,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year International Travelers Warranty (ITW),3.7
7,CHUWI,16490,8 GB,256 GB SSD,Intel Celeron Dual Core 11th Gen N4020 ,Windows 11 Home,HeroBook,Laptop,"Light weight, Portable Laptop RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage Hard-Decoding 4k@60Hz Graphics/GPU: UHD Graphics 600 Display: 14.1 inch, 16:9 IPS Display Touchpad: Larger Touchpad with easy control Keyboard: Chiclet keyboard keys Intel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) Display WPS Office, Operating System Software1 Year Onsite Warranty",4.3
8,HP Backlit,44990,8 GB,512 GB SSD,Intel Core i5 12th Gen 1235U ,Windows 11 Home,15s-fy5002TU,Not available,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2
9,Lenovo Yoga Slim 7,87990,16 GB,,Intel Core Ultra 7 155H ,Windows 11 Home,14IMH9,Not available,Intel Core Ultra 7 Processor16 GB LPDDR5X RAMWindows 11 Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,4.1
10,ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic*,29990,8 GB,,AMD Ryzen 3 Quad Core 7320U ,Not available,with,Not available,"AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) Display Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), Mc Afee 1 year1 Year Onsite Warranty",4.1
